# capacity
2763.563934

# weight price
1.386855 6.386855
4.886929 9.886929
7.412284 12.412284
9.051689 14.051689
9.932316 14.932316
8.642146 13.642146
1.088770 6.088770
6.453530 11.453530
3.545457 8.545457
1.397950 6.397950
1.266683 6.266683
3.744689 8.744689
5.485617 10.485617
9.478849 14.478849
3.319083 8.319083
3.080152 8.080152
1.508222 6.508222
3.896259 8.896259
5.156048 10.156048
2.076771 7.076771
6.355011 11.355011
6.735456 11.735456
6.929971 11.929971
1.650175 6.650175
3.994564 8.994564
2.678594 7.678594
7.878778 12.878778
9.467137 14.467137
2.014871 7.014871
3.745605 8.745605
3.792972 8.792972
5.615528 10.615528
7.392708 12.392708
8.406910 13.406910
3.365962 8.365962
4.671873 9.671873
9.522280 14.522280
4.819880 9.819880
8.893751 13.893751
2.619394 7.619394
2.354884 7.354884
6.072362 11.072362
1.231488 6.231488
4.137341 9.137341
3.938153 8.938153
5.038602 10.038602
7.204274 12.204274
6.426181 11.426181
5.896587 10.896587
1.012552 6.012552
4.991463 9.991463
2.353494 7.353494
8.888379 13.888379
2.606513 7.606513
3.665957 8.665957
6.810512 11.810512
5.917137 10.917137
1.773170 6.773170
7.092926 12.092926
3.228562 8.228562
9.934334 14.934334
7.732663 12.732663
7.887223 12.887223
8.994908 13.994908
1.746111 6.746111
9.250370 14.250370
6.896221 11.896221
5.645257 10.645257
5.071587 10.071587
6.656555 11.656555
6.805567 11.805567
2.823299 7.823299
9.130284 14.130284
1.202071 6.202071
6.760478 11.760478
2.523850 7.523850
2.806991 7.806991
3.810576 8.810576
3.363608 8.363608
4.919021 9.919021
8.183514 13.183514
7.922795 12.922795
7.675125 12.675125
9.727486 14.727486
7.351415 12.351415
4.029742 9.029742
9.663396 14.663396
9.055392 14.055392
2.946671 7.946671
9.247682 14.247682
4.095898 9.095898
7.420895 12.420895
6.130750 11.130750
5.327040 10.327040
2.073621 7.073621
1.117428 6.117428
8.785830 13.785830
6.761009 11.761009
1.129638 6.129638
2.365603 7.365603
7.323430 12.323430
3.267847 8.267847
9.394766 14.394766
7.954418 12.954418
7.550969 12.550969
9.484858 14.484858
4.996288 9.996288
9.033357 14.033357
8.035764 13.035764
7.642719 12.642719
4.610899 9.610899
2.293724 7.293724
7.462783 12.462783
5.786765 10.786765
8.170596 13.170596
9.329895 14.329895
1.927375 6.927375
2.554377 7.554377
2.093176 7.093176
6.039018 11.039018
4.968842 9.968842
5.699098 10.699098
7.310375 12.310375
9.942287 14.942287
9.428211 14.428211
5.923245 10.923245
7.547960 12.547960
4.157645 9.157645
5.883344 10.883344
4.345571 9.345571
1.201732 6.201732
3.575490 8.575490
1.617807 6.617807
8.113070 13.113070
9.700166 14.700166
2.465224 7.465224
7.195734 12.195734
2.328445 7.328445
8.872314 13.872314
2.240292 7.240292
2.185008 7.185008
6.238539 11.238539
4.811858 9.811858
9.436383 14.436383
