# capacity
673.8677805

# weight price
9.209064 14.209064
9.500999 14.500999
6.963295 11.963295
2.279285 7.279285
3.032726 8.032726
1.274258 6.274258
3.946579 8.946579
1.483850 6.483850
8.397372 13.397372
9.242843 14.242843
8.035211 13.035211
4.006164 9.006164
6.866686 11.866686
5.449048 10.449048
2.131032 7.131032
9.137101 14.137101
1.995695 6.995695
8.548770 13.548770
9.450672 14.450672
2.586045 7.586045
3.923305 8.923305
4.484013 9.484013
1.063318 6.063318
3.620432 8.620432
2.567424 7.567424
1.464839 6.464839
7.360391 12.360391
3.350601 8.350601
6.020803 11.020803
1.856454 6.856454
7.863757 12.863757
4.146012 9.146012
5.098071 10.098071
2.066206 7.066206
7.457775 12.457775
7.568270 12.568270
1.568819 6.568819
6.037302 11.037302
8.885883 13.885883
3.902923 8.902923
8.596297 13.596297
4.384640 9.384640
1.230826 6.230826
3.871946 8.871946
2.967615 7.967615
2.940307 7.940307
9.480380 14.480380
8.974063 13.974063
3.094555 8.094555
2.810172 7.810172
2.475128 7.475128
8.169691 13.169691
2.129828 7.129828
4.625228 9.625228
9.009089 14.009089
1.786109 6.786109
4.601663 9.601663
4.143615 9.143615
6.027177 11.027177
8.724334 13.724334
4.034586 9.034586
1.497589 6.497589
1.742364 6.742364
7.276174 12.276174
5.059221 10.059221
8.471348 13.471348
4.934693 9.934693
7.681153 12.681153
8.083970 13.083970
4.934716 9.934716
2.263453 7.263453
1.113841 6.113841
7.405829 12.405829
7.023024 12.023024
4.526548 9.526548
8.391742 13.391742
1.265338 6.265338
4.225184 9.225184
9.346990 14.346990
8.017472 13.017472
8.368631 13.368631
4.537072 9.537072
2.790101 7.790101
5.193468 10.193468
8.673214 13.673214
2.135691 7.135691
9.830011 14.830011
3.639049 8.639049
9.158919 14.158919
4.078815 9.078815
9.295549 14.295549
9.940520 14.940520
1.989507 6.989507
2.691199 7.691199
6.871154 11.871154
9.138547 14.138547
3.832792 8.832792
9.903747 14.903747
3.980833 8.980833
5.980027 10.980027
6.879197 11.879197
6.668758 11.668758
8.668962 13.668962
3.370572 8.370572
1.711501 6.711501
3.639203 8.639203
4.503730 9.503730
6.652672 11.652672
6.172294 11.172294
9.868470 14.868470
3.639828 8.639828
9.069824 14.069824
8.344210 13.344210
9.583991 14.583991
6.807006 11.807006
4.956325 9.956325
2.465226 7.465226
1.130236 6.130236
6.225003 11.225003
1.346161 6.346161
3.279086 8.279086
5.523816 10.523816
7.965773 12.965773
4.265617 9.265617
7.837914 12.837914
5.370839 10.370839
7.034771 12.034771
5.181167 10.181167
6.538136 11.538136
1.215336 6.215336
3.715852 8.715852
2.344877 7.344877
1.990738 6.990738
8.095537 13.095537
3.117505 8.117505
8.621608 13.621608
2.737633 7.737633
2.301033 7.301033
1.848134 6.848134
1.657176 6.657176
9.838199 14.838199
1.510446 6.510446
8.206775 13.206775
2.119422 7.119422
7.154484 12.154484
2.945387 7.945387
6.356535 11.356535
3.215255 8.215255
4.753217 9.753217
8.590775 13.590775
8.542450 13.542450
9.672801 14.672801
3.389450 8.389450
1.844335 6.844335
5.415267 10.415267
9.004033 14.004033
4.785607 9.785607
8.990792 13.990792
1.956372 6.956372
6.625668 11.625668
3.452405 8.452405
4.884734 9.884734
8.130650 13.130650
6.640585 11.640585
1.325496 6.325496
4.845726 9.845726
5.469026 10.469026
1.202187 6.202187
4.989763 9.989763
9.027440 14.027440
4.445667 9.445667
6.813935 11.813935
1.884421 6.884421
9.621641 14.621641
2.070025 7.070025
3.638994 8.638994
5.898874 10.898874
3.420652 8.420652
9.671293 14.671293
5.685244 10.685244
4.796756 9.796756
6.170502 11.170502
6.904318 11.904318
3.576083 8.576083
5.167100 10.167100
7.518714 12.518714
8.519183 13.519183
5.631435 10.631435
5.146649 10.146649
8.000621 13.000621
2.192487 7.192487
9.831648 14.831648
8.948573 13.948573
5.127426 10.127426
8.009721 13.009721
1.797579 6.797579
4.889081 9.889081
7.294262 12.294262
4.271433 9.271433
2.410177 7.410177
4.383687 9.383687
8.359841 13.359841
6.390287 11.390287
5.296157 10.296157
6.222357 11.222357
6.033325 11.033325
6.566735 11.566735
2.378530 7.378530
2.640191 7.640191
1.706108 6.706108
2.479060 7.479060
5.922474 10.922474
3.229590 8.229590
2.446752 7.446752
5.546282 10.546282
2.422066 7.422066
7.472880 12.472880
6.519311 11.519311
9.419698 14.419698
2.538206 7.538206
4.006143 9.006143
8.575075 13.575075
2.514438 7.514438
4.363820 9.363820
5.414904 10.414904
7.412454 12.412454
5.295305 10.295305
9.281536 14.281536
6.205887 11.205887
8.574046 13.574046
2.578445 7.578445
7.789379 12.789379
9.465943 14.465943
5.945856 10.945856
2.198917 7.198917
3.719810 8.719810
8.548244 13.548244
2.710386 7.710386
9.307696 14.307696
5.606563 10.606563
5.939238 10.939238
3.346261 8.346261
7.704282 12.704282
3.549227 8.549227
5.031655 10.031655
8.408095 13.408095
9.280075 14.280075
4.989402 9.989402
2.923170 7.923170
9.280242 14.280242
